"Saturday, March 1, 2025",Mcl,Car,LGV,Bus,R2X,R3X,R4+X,A4-X,A5X,A6+X,AT5-X,AT6X,AT7+X,UC,CarLGV+T,Rigid+T,,
00:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01:00:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
03:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04:00:00,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,
05:00:00,0,10,3,0,0,2,0,0,0,0,0,0,1,0,0,0,,
06:00:00,0,8,7,0,0,0,0,0,0,0,0,0,2,0,0,0,,
07:00:00,0,4,4,0,2,2,0,0,1,0,0,0,6,1,0,0,,
08:00:00,0,2,3,0,0,0,0,0,0,0,0,0,7,0,0,0,,
09:00:00,0,1,1,0,1,1,0,0,1,0,0,0,5,1,0,0,,
10:00:00,0,1,5,0,0,0,0,0,0,0,0,0,10,0,0,0,,
11:00:00,0,2,1,0,1,1,0,0,1,0,0,0,5,0,0,0,,
12:00:00,0,2,2,0,1,0,0,0,0,0,0,0,4,0,0,0,,
13:00:00,0,5,3,0,0,1,0,0,0,0,0,0,4,0,0,0,,
14:00:00,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,
15:00:00,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,
16:00:00,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,
17:00:00,0,4,5,0,0,0,0,0,0,0,0,0,2,0,0,0,,
18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19:00:00,0,1,3,0,0,1,0,0,0,1,0,0,2,0,0,0,,
20:00:00,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
21:00:00,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Sunday, March 2, 2025",Mcl,Car,LGV,Bus,R2X,R3X,R4+X,A4-X,A5X,A6+X,AT5-X,AT6X,AT7+X,UC,CarLGV+T,Rigid+T,,
00:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01:00:00,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,,
02:00:00,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
03:00:00,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04:00:00,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,,
05:00:00,0,20,22,0,2,0,0,0,0,0,0,0,0,0,0,0,,
06:00:00,0,50,74,0,6,0,0,0,0,0,0,0,1,1,0,0,,
07:00:00,0,17,7,0,2,14,0,0,2,0,0,0,4,0,0,0,,
08:00:00,0,4,3,0,1,11,0,1,28,6,0,0,1,1,0,0,,
09:00:00,0,11,10,0,1,4,0,1,44,5,0,0,3,3,0,0,,
10:00:00,0,5,6,0,0,25,0,3,22,8,0,0,4,2,0,0,,
11:00:00,0,10,13,0,0,25,0,1,14,6,0,0,7,1,0,0,,
12:00:00,0,24,38,0,3,35,0,0,4,6,0,0,4,0,0,0,,
13:00:00,0,7,3,0,0,38,0,0,16,5,0,0,3,2,0,0,,
14:00:00,0,5,5,0,1,37,0,0,18,3,0,0,5,0,0,0,,
15:00:00,0,6,11,0,1,29,0,0,21,0,0,0,3,2,0,0,,
16:00:00,0,3,6,0,0,27,0,0,14,2,0,0,3,1,0,0,,
17:00:00,0,5,6,0,0,25,0,0,0,0,0,0,0,0,0,0,,
18:00:00,0,13,25,0,2,1,0,0,0,1,0,0,1,0,0,0,,
19:00:00,0,3,5,0,0,2,0,0,0,0,0,0,1,0,0,0,,
20:00:00,0,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,,
21:00:00,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
22:00:00,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
23:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Saturday, March 3, 2025",Mcl,Car,LGV,Bus,R2X,R3X,R4+X,A4-X,A5X,A6+X,AT5-X,AT6X,AT7+X,UC,CarLGV+T,Rigid+T,,
00:00:00,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02:00:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,
03:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
04:00:00,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,,
05:00:00,0,20,14,0,0,2,0,0,1,0,0,0,3,0,0,0,,
06:00:00,0,22,27,0,5,8,0,0,0,0,0,0,3,0,0,0,,
07:00:00,0,33,29,0,7,26,0,0,10,1,0,0,5,2,0,0,,
08:00:00,0,24,14,0,0,9,0,3,26,3,0,0,5,0,0,1,,
09:00:00,0,9,12,0,3,11,0,1,25,6,0,0,4,5,0,0,,
10:00:00,0,8,10,2,2,15,0,3,30,6,0,0,3,1,0,0,,
11:00:00,0,9,14,0,12,7,0,3,16,3,0,0,6,2,0,0,,
12:00:00,0,29,21,0,3,11,0,1,19,6,0,0,4,0,0,0,,
13:00:00,0,12,14,0,4,14,0,3,34,3,0,0,4,1,0,0,,
14:00:00,0,17,10,0,3,10,0,2,25,7,0,0,5,3,0,0,,
15:00:00,0,4,7,0,2,8,0,0,31,4,0,0,5,0,0,1,,
16:00:00,0,6,6,1,0,2,0,2,21,3,0,0,3,0,0,0,,
17:00:00,0,11,4,0,0,2,0,0,0,0,0,0,3,0,0,0,,
18:00:00,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,,
19:00:00,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,,
20:00:00,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,,
21:00:00,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,
22:00:00,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,,
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Saturday, March 4, 2025",Mcl,Car,LGV,Bus,R2X,R3X,R4+X,A4-X,A5X,A6+X,AT5-X,AT6X,AT7+X,UC,CarLGV+T,Rigid+T,,
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
01:00:00,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,,
02:00:00,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,,
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
04:00:00,0,3,3,0,1,1,0,0,1,0,0,0,1,0,0,0,,
05:00:00,0,22,35,0,3,0,0,0,1,0,0,0,2,0,0,0,,
06:00:00,0,54,79,0,10,7,0,0,1,0,0,0,3,0,0,0,,
07:00:00,0,41,49,0,6,13,0,0,8,1,0,0,4,0,0,0,,
08:00:00,0,24,22,0,2,11,0,2,26,6,0,0,3,2,0,0,,
09:00:00,0,8,19,1,3,13,0,4,32,5,0,0,7,2,0,0,,
10:00:00,0,7,11,0,5,13,0,3,33,4,0,0,6,2,0,0,,
11:00:00,0,12,14,0,5,16,0,2,23,4,0,0,7,2,0,0,,
12:00:00,0,24,45,0,10,18,0,3,14,3,0,0,4,2,0,0,,
13:00:00,0,15,11,0,4,23,0,1,28,3,0,0,3,3,0,0,,
14:00:00,0,12,12,1,4,21,0,0,20,5,0,0,6,5,0,0,,
15:00:00,0,7,14,1,0,11,0,0,32,5,0,0,3,6,0,0,,
16:00:00,0,1,10,0,1,23,0,0,28,1,0,0,6,0,0,0,,
17:00:00,0,11,10,0,4,10,0,0,3,1,0,0,2,0,0,0,,
18:00:00,0,14,20,0,0,1,0,0,1,0,0,0,2,0,0,0,,
19:00:00,0,2,7,0,0,3,0,0,0,0,0,0,2,0,0,0,,
20:00:00,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,,
21:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22:00:00,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
23:00:00,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,
"Saturday, March 5, 2025",Mcl,Car,LGV,Bus,R2X,R3X,R4+X,A4-X,A5X,A6+X,AT5-X,AT6X,AT7+X,UC,CarLGV+T,Rigid+T,,
00:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01:00:00,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04:00:00,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,
05:00:00,0,16,17,0,1,0,0,0,1,0,0,0,4,0,0,0,,
06:00:00,0,22,22,0,5,2,0,0,0,3,0,0,2,0,0,0,,
07:00:00,0,44,37,0,4,31,0,1,14,0,0,0,8,0,0,0,,
08:00:00,0,28,21,0,2,10,0,0,27,6,0,0,4,2,0,0,,
09:00:00,0,8,19,1,5,8,0,2,26,2,0,0,4,1,0,0,,
10:00:00,0,5,10,0,3,4,0,1,28,4,0,0,8,3,0,0,,
11:00:00,0,15,13,1,6,6,0,3,20,2,0,0,10,0,0,0,,
12:00:00,0,16,28,0,5,3,0,0,18,6,0,0,5,1,0,0,,
13:00:00,0,10,11,0,5,3,0,2,36,7,0,0,5,1,0,0,,
14:00:00,0,17,15,0,2,4,0,1,40,6,0,0,9,2,0,0,,
15:00:00,0,7,5,1,3,4,0,1,34,5,0,0,1,2,0,0,,
16:00:00,0,3,2,0,2,4,0,0,19,1,0,0,3,0,0,0,,
17:00:00,0,8,5,0,1,0,0,0,0,0,0,0,3,0,0,0,,
18:00:00,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,,
19:00:00,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,,
20:00:00,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,
21:00:00,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22:00:00,0,1,3,0,2,1,0,0,0,0,0,0,1,0,0,0,,
23:00:00,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,
"Saturday, March 6, 2025",Mcl,Car,LGV,Bus,R2X,R3X,R4+X,A4-X,A5X,A6+X,AT5-X,AT6X,AT7+X,UC,CarLGV+T,Rigid+T,,
00:00:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01:00:00,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
03:00:00,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,,
04:00:00,0,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,,
05:00:00,0,12,20,0,0,2,0,0,0,0,0,0,3,0,0,0,,
06:00:00,0,19,21,0,2,1,0,0,0,0,0,0,4,0,0,0,,
07:00:00,0,43,38,0,3,4,0,0,2,1,0,0,7,2,0,0,,
08:00:00,0,14,13,0,7,5,0,1,23,4,0,0,5,3,0,0,,
09:00:00,0,3,12,0,4,5,0,2,27,1,0,0,4,1,0,0,,
10:00:00,0,7,10,0,11,4,0,1,31,3,0,0,7,1,0,0,,
11:00:00,0,11,17,0,7,3,0,1,21,5,0,0,7,2,0,0,,
12:00:00,0,22,32,0,3,3,0,0,17,2,0,0,5,0,0,0,,
13:00:00,0,15,14,0,1,4,0,1,23,5,0,0,6,1,0,0,,
